,amc_id,fund_house,ter_name,universe_scheme_name,score,approved
588,58,pgim india,PGIM India ELSS Tax Saver Fund,PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option,100.0,APPROVE
589,58,pgim india,PGIM India Healthcare Fund,PGIM India Healthcare Fund - Direct Plan - Growth Option,100.0,APPROVE
590,58,pgim india,PGIM India Large and Midcap Fund,PGIM India Large and Midcap Fund - Direct Plan - Growth Option,100.0,APPROVE
591,58,pgim india,PGIM India Multi Cap Fund,PGIM India Multi Cap Fund - Direct Plan - Growth Option,100.0,APPROVE
592,58,pgim india,PGIM India Midcap Fund,PGIM India Midcap Fund - Direct Plan - Growth Option,100.0,APPROVE
593,58,pgim india,PGIM India Small Cap Fund,PGIM India Flexi Cap Fund - Direct Plan - Growth Option,76.0,REVIEW
594,58,pgim india,PGIM India Midcap Opportunities Fund,PGIM India Midcap Fund - Direct Plan - Growth Option,75.86206896551724,REVIEW
595,61,union,Union Largecap Fund,Union Largecap Fund - Direct Plan - Growth Option,100.0,APPROVE
596,61,union,Union Small Cap Fund,Union Small Cap Fund - Direct Plan - Growth Option,100.0,APPROVE
597,61,union,Union Focused Fund,Union Focused Fund - Direct Plan - Growth Option,100.0,APPROVE
598,61,union,Union Large & Midcap Fund,Union Large & Midcap Fund - Direct Plan - Growth Option,100.0,APPROVE
599,61,union,Union Flexi Cap Fund,Union Flexi Cap Fund - Direct Plan - Growth Option,100.0,APPROVE
600,61,union,Union Midcap Fund,Union Midcap Fund - Direct Plan - Growth Option,100.0,APPROVE
601,61,union,Union Multicap Fund,Union Multicap Fund - Direct Plan - Growth Option,100.0,APPROVE
602,61,union,Union ELSS Tax Saver Fund (Formerly Union Tax Saver (ELSS) Fund,Union ELSS Tax Saver Fund - Direct Plan - Growth Option,100.0,APPROVE
603,61,union,Union Innovation & Opportunities Fund,Union Innovation & Opportunities Fund - Direct Plan - Growth Option,100.0,APPROVE
604,61,union,Union Value Fund,Union Value Fund - Direct Plan - Growth Option,100.0,APPROVE
605,61,union,Union Active Momentum Fund,Union Active Momentum Fund - Direct Plan - Growth Option,100.0,APPROVE
606,61,union,Union Business Cycle Fund,Union Business Cycle Fund - Direct Plan - Growth Option,100.0,APPROVE
607,61,union,Union Consumption Fund,Union Consumption Fund - Direct Plan - Growth Option,100.0,APPROVE
608,61,union,Union Multi Cap Fund,Union Small Cap Fund - Direct Plan - Growth Option,85.0,REVIEW
609,61,union,Union Value Discovery Fund,Union Value Fund - Direct Plan - Growth Option,76.19047619047619,REVIEW
610,61,union,Union Tax Saver (ELSS) Fund (Formerly Union Long Term Equity Fund),Union ELSS Tax Saver Fund - Direct Plan - Growth Option,75.0,REVIEW
611,62,360 one,360 ONE ELSS Tax Saver Nifty 50 Index Fund(Formerly known as IIFL ELSS Nifty 50 Tax Saver Index Fund,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,100.0,APPROVE
612,62,360 one,360 ONE ELSS Tax Saver Nifty 50 Index Fund,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,100.0,APPROVE
613,62,360 one,360 ONE Focused Fund,360 ONE Focused Fund-Direct Plan-Growth,100.0,APPROVE
614,62,360 one,360 ONE ELSS Nifty 50 Tax Saver Index Fund(Formerly known as IIFL ELSS Nifty 50 Tax Saver Index Fund,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,100.0,APPROVE
615,62,360 one,360 ONE ELSS Tax Saver Nifty 50 Index Fund (Formerly as 360 ONE ELSS Nifty 50 Tax Saver Index Fund),360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,100.0,APPROVE
616,62,360 one,360 ONE Focused Equity Fund (Formerly known as IIFL Focused Equity Fund),360 ONE Focused Fund-Direct Plan-Growth,85.1063829787234,REVIEW
617,62,360 one,360 ONE Focused Equity Fund,360 ONE Focused Fund-Direct Plan-Growth,85.1063829787234,REVIEW
618,62,360 one,IIFL ELSS Nifty 50 Tax Saver Index Fund,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,83.9506172839506,REVIEW
619,62,360 one,360 ONE FLEXICAP FUND,360 ONE Focused Fund-Direct Plan-Growth,73.17073170731707,REVIEW
620,62,360 one,360 ONE QUANT FUND (Formerly known as IIFL QUANT FUND),360 ONE QUANT FUND DIRECT GROWTH,72.0,REVIEW
621,62,360 one,360 ONE QUANT FUND,360 ONE QUANT FUND DIRECT GROWTH,72.0,REVIEW
622,63,groww,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund),Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Growth Option,100.0,APPROVE
623,63,groww,Groww Value Fund (formerly known as Indiabulls Value Fund),Groww Value Fund (formerly known as Indiabulls Value Fund) - Direct Plan - Growth Option,100.0,APPROVE
624,63,groww,Groww Banking & Financial Services Fund,Groww Banking & Financial Services Fund - Direct Plan - Growth,100.0,APPROVE
625,63,groww,Groww ELSS Tax Saver Fund,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Growth Option,100.0,APPROVE
626,63,groww,Groww Multicap Fund,Groww Multicap Fund - Direct - Growth,100.0,APPROVE
627,63,groww,Groww Value Fund,Groww Value Fund (formerly known as Indiabulls Value Fund) - Direct Plan - Growth Option,100.0,APPROVE
628,63,groww,Groww Small Cap Fund,Groww Small Cap Fund-Direct-Growth,100.0,APPROVE
629,63,groww,Groww ELSS Tax Saver Fund (Formerly Known as Indiabulls Tax Savings Fund),Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Growth Option,100.0,APPROVE
