scheme_code,scheme_name,category,scheme_type,fund_house
119871,JPMorgan India Tax Advantage Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,JPMorgan Mutual Fund
119872,JPMorgan Greater China Equity Off-shore Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,JPMorgan Mutual Fund
119874,JPMorgan EEMEA Equity Off-shore Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,JPMorgan Mutual Fund
119876,Tata Income Fund - Direct Plan - Growth Option,Debt Scheme - Medium to Long Duration Fund,Open Ended Schemes,Tata Mutual Fund
119878,JPMorgan ASEAN Equity Off-shore Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,JPMorgan Mutual Fund
119883,JPMorgan India Active Bond Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,JPMorgan Mutual Fund
119884,Tata Fixed Income Portfolio Fund - Scheme A1 - Direct Plan - Growth,Income,Open Ended Schemes,Tata Mutual Fund
119886,ING Core Equity Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119890,JPMorgan India Short Term Income Fund - Direct Plan -  Growth Option,Income,Open Ended Schemes,JPMorgan Mutual Fund
119893,BNP Paribas LARGE CAP Fund - Direct Plan - Growth Option,Equity Scheme - Large Cap Fund,Open Ended Schemes,BNP Paribas Mutual Fund
119895,Tata Fixed Income Portfolio Fund - Scheme A2 - Direct Plan - Growth,Income,Open Ended Schemes,Tata Mutual Fund
119897,ING Dividend Yield Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119899,Tata Fixed Income Portfolio Fund - Scheme A3 - Direct Plan - Growth,Income,Open Ended Schemes,Tata Mutual Fund
119905,JPMorgan India Liquid Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,JPMorgan Mutual Fund
119909,ING Midcap Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119912,Tata Fixed Income Portfolio Fund - Scheme B2 - Direct Plan - Growth,Income,Open Ended Schemes,Tata Mutual Fund
119914,ING Large Cap Equity Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119916,ING Tax Savings Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119921,Tata Fixed Income Portfolio Fund - Scheme B3 - Direct Plan - Growth,Income,Open Ended Schemes,Tata Mutual Fund
119926,JPMorgan India Treasury Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,JPMorgan Mutual Fund
119930,Tata Fixed Income Portfolio Fund - Scheme C2 - Direct Plan - Growth,Income,Open Ended Schemes,Tata Mutual Fund
119935,ING Liquid Fund - Super Institutional Plan - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119936,Tata Fixed Income Portfolio Fund - Scheme C3 - Direct Plan - Growth,Income,Open Ended Schemes,Tata Mutual Fund
119939,ING Treasury Advantage Fund - Institutional Plan - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119944,Tata Gilt Mid Term Fund - Direct Plan - Growth,Income,Open Ended Schemes,Tata Mutual Fund
119947,DHFL Pramerica Credit Opportunities Fund - Direct Plan- Growth Option,Income,Open Ended Schemes,DHFL Pramerica Mutual Fund
119949,Tata Short Term Bond Fund - Direct Plan - Growth Option,Debt Scheme - Short Duration Fund,Open Ended Schemes,Tata Mutual Fund
119952,Tata Floating Rate Fund - Long Term Plan - Direct Plan- Growth,Income,Open Ended Schemes,Tata Mutual Fund
119953,Tata Gilt Securities Fund- Direct Plan - Growth Option,Debt Scheme - Gilt Fund,Open Ended Schemes,Tata Mutual Fund
119955,Tata Gilt Short Maturity Fund - Direct Plan - Growth,Income,Open Ended Schemes,Tata Mutual Fund
119960,Tata Equity Savings Fund- Direct Plan- Growth Option,Hybrid Scheme - Equity Savings,Open Ended Schemes,Tata Mutual Fund
119964,ING Income Fund - Regular Plan - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119966,ING Gilt Fund- Provident Fund -Dynamic Plan - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119974,ING MIP Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119977,Tata MIP Plus Fund - Direct Plan - Growth,Income,Open Ended Schemes,Tata Mutual Fund
119979,ING Balanced Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119981,ING Short Term Income Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119984,BNP Paribas Corporate Bond Fund - Direct Plan - Growth Option,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,BNP Paribas Mutual Fund
119988,BNP Paribas MULTI CAP Fund - Direct Plan - Growth Option,Equity Scheme - Multi Cap Fund,Open Ended Schemes,BNP Paribas Mutual Fund
119989,ING Asset Allocator Multi-Manager FoF Scheme - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
119992,BNP Paribas Flexi Debt Fund - Direct Plan - Growth Option,Debt Scheme - Dynamic Bond,Open Ended Schemes,BNP Paribas Mutual Fund
119998,ING Active Debt Multi-Manager FoF Scheme - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
120000,BNP Paribas Income And Gold Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,BNP Paribas Mutual Fund
120002,BNP Paribas Mid Cap Fund - Direct Plan - Growth Option,Equity Scheme - Mid Cap Fund,Open Ended Schemes,BNP Paribas Mutual Fund
120003,ING Income Growth Multi Manager FoF Scheme - 15% Equity Plan -  Direct Plan - Option A - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
120005,ING 5 Star Multi Manager FoF Scheme - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
120008,BNP Paribas LOW DURATION Fund - Direct Plan - Growth Option,Debt Scheme - Low Duration Fund,Open Ended Schemes,BNP Paribas Mutual Fund
120013,ING Global Commodities Fund - Direct plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
120016,ING Multi Manager Equity Fund - Direct Plan - Option A -  Growth  Option,Income,Open Ended Schemes,ING Mutual Fund
120017,ING Global Real Estate Fund - Retail Plan - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
120019,ING Latin America Equity Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
120022,ING Financial Planning Fund - Conservative Plan - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
120024,ING Financial Planning Fund - Prudent Plan - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
120025,ING Financial Planning Fund - Aggressive Plan - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
120027,ING Financial Planning Fund - Cautious Plan - Direct Plan - Growth Option,Income,Open Ended Schemes,ING Mutual Fund
120030,HSBC Large Cap Fund - Direct Growth,Equity Scheme - Large Cap Fund,Open Ended Schemes,HSBC Mutual Fund
120032,ING Income Growth Multi Manager FoF Scheme - 30% Equity Plan -Direct Plan - Option A -  Growth Option,Income,Open Ended Schemes,ING Mutual Fund
120034,HSBC Infrastructure Equity Fund - Growth Direct,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,HSBC Mutual Fund
120035,HSBC Brazil Fund - Growth Direct,Other Scheme - FoF Overseas,Open Ended Schemes,HSBC Mutual Fund
120038,HSBC Liquid Fund -  Growth Direct,Debt Scheme - Liquid Fund,Open Ended Schemes,HSBC Mutual Fund
120042,HSBC Dynamic Asset Allocation Fund-Growth Direct,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Open Ended Schemes,HSBC Mutual Fund
120043,HSBC Global Emerging Market Fund - Growth Direct,Other Scheme - FoF Overseas,Open Ended Schemes,HSBC Mutual Fund
120046,HSBC Flexi Cap Fund - Direct Growth,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,HSBC Mutual Fund
120048,HSBC Flexi Debt Fund - Growth Direct,Debt Scheme - Dynamic Bond,Open Ended Schemes,HSBC Mutual Fund
120054,HSBC Floating Rate Fund - Long Term Plan - Growth Direct,Income,Open Ended Schemes,HSBC Mutual Fund
120057,HSBC Gilt Fund - Growth Direct,Income,Open Ended Schemes,HSBC Mutual Fund
120059,HSBC Medium to Long Duration Fund - Direct Growth,Debt Scheme - Medium to Long Duration Fund,Open Ended Schemes,HSBC Mutual Fund
120062,HSBC Short Duration Fund - Growth Direct,Debt Scheme - Short Duration Fund,Open Ended Schemes,HSBC Mutual Fund
120066,HSBC Low Duration Fund - Growth Direct,Debt Scheme - Low Duration Fund,Open Ended Schemes,HSBC Mutual Fund
120069,HSBC Small Cap Equity Fund - Growth Direct,Equity Scheme - Small Cap Fund,Open Ended Schemes,HSBC Mutual Fund
120072,HSBC MIP-Regular Plan-Growth Direct,Income,Open Ended Schemes,HSBC Mutual Fund
120073,HSBC Conservative Hybrid Fund - Direct Growth,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,HSBC Mutual Fund
120077,HSBC - Small Cap Fund - Growth Direct,Income,Open Ended Schemes,HSBC Mutual Fund
120079,HSBC Tax Saver Equity Fund - Growth Direct,Equity Scheme - ELSS,Open Ended Schemes,HSBC Mutual Fund
120081,HSBC Dividend Yield Equity Fund-Growth Direct,Income,Open Ended Schemes,HSBC Mutual Fund
120082,BNP Paribas Conservative Hybrid Fund - Direct Plan - Growth Option,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,BNP Paribas Mutual Fund
120084,PGIM India Dynamic Bond Fund - Direct Plan-Growth Option,Debt Scheme - Dynamic Bond,Open Ended Schemes,PGIM India Mutual Fund
120088,DHFL Pramerica Dynamic Asset Allocation Fund - Direct Plan-Growth Option,Income,Open Ended Schemes,DHFL Pramerica Mutual Fund
120095,HDFC FMP 1919D January 2013 (1) Direct Plan Growth Option,Income,Close Ended Schemes,HDFC Mutual Fund
120098,DHFL Pramerica Dynamic Monthly Income Fund - Direct Plan-Growth Option,Income,Open Ended Schemes,DHFL Pramerica Mutual Fund
120100,DHFL Pramerica Large Cap Equity Fund - Direct Plan-Growth Option,Income,Open Ended Schemes,DHFL Pramerica Mutual Fund
120104,DHFL Pramerica Liquid Fund - Direct Plan-Growth Option,Income,Open Ended Schemes,DHFL Pramerica Mutual Fund
120108,DHFL PRAMERICA SHORT TERM FLOATING RATE FUND - DIRECT PLAN - GROWTH OPTION,Income,Open Ended Schemes,DHFL Pramerica Mutual Fund
120113,DHFL Pramerica Short Term Income Fund - Direct Plan-Growth Option,Income,Open Ended Schemes,DHFL Pramerica Mutual Fund
120119,DHFL Pramerica Treasury Advantage Fund - Direct Plan-Growth Option,Income,Open Ended Schemes,DHFL Pramerica Mutual Fund
120123,BNP Paribas LIQUID Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,BNP Paribas Mutual Fund
120129,DHFL Pramerica Ultra Short Term Bond Fund - Direct Plan-Growth Option,Income,Open Ended Schemes,DHFL Pramerica Mutual Fund
120131,BNP Paribas Short Term Fund - Direct Plan - Growth Option,Debt Scheme - Short Duration Fund,Open Ended Schemes,BNP Paribas Mutual Fund
120137,SBI CONSTANT MATURITY 10 YEAR GILT FUND - DIRECT PLAN - GROWTH,Debt Scheme - Gilt Fund with 10 year constant duration,Open Ended Schemes,SBI Mutual Fund
120140,HDFC FMP 462D January 2013 (1) Direct Plan Growth Option,Income,Close Ended Schemes,HDFC Mutual Fund
120147,BNP Paribas Long Term Equity Fund - Direct Plan - Growth Option,Equity Scheme - ELSS,Open Ended Schemes,BNP Paribas Mutual Fund
120150,Reliance Fixed Horizon Fund - XXII - Series 39 - Direct Plan - Growth Option,Income,Close Ended Schemes,Reliance Mutual Fund
120152,Kotak Large Cap  Fund - Growth - Direct,Equity Scheme - Large Cap Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
120154,Kotak Debt Hybrid - Growth - Direct,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
120158,Kotak Large & Midcap Fund - Direct- Growth,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
120160,Kotak Multi Asset Allocation Fund-Growth - Direct,Half Yearly Dividend,125254;INF174K01YR7;INF174K01YS5;Kotak Bond Short Term Plan-,Kotak Mahindra Mutual Fund
120164,Kotak-Small Cap Fund - Growth - Direct,Equity Scheme - Small Cap Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
120166,Kotak Flexicap Fund - Growth - Direct,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,Kotak Mahindra Mutual Fund
120168,Kotak Quarterly Interval Plan Series 1 - Growth - Direct,Income,Open Ended Schemes,Kotak Mahindra Mutual Fund
120170,Kotak Quarterly Interval Plan Series 2 - Growth - Direct,Income,Open Ended Schemes,Kotak Mahindra Mutual Fund
120172,Kotak Quarterly Interval Plan Series 3 - Growth - Direct,Income,Open Ended Schemes,Kotak Mahindra Mutual Fund
120174,Kotak Quarterly Interval Plan Series 4 - Growth - Direct,Income,Open Ended Schemes,Kotak Mahindra Mutual Fund
120176,Kotak Quarterly Interval Plan Series 5-Growth - Direct,Income,Open Ended Schemes,Kotak Mahindra Mutual Fund
120181,IDFC FTP SERIES - 7 - Direct Plan - Growth,Income,Close Ended Schemes,IDFC Mutual Fund
120186,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ICICI Prudential Mutual Fund
120197,ICICI Prudential Liquid Fund - Direct Plan - Growth,Debt Scheme - Liquid Fund,Open Ended Schemes,ICICI Prudential Mutual Fund
120208,Birla Sun Life Fixed Term Plan-Series GF (539 days)-Direct Plan-Growth,Income,Close Ended Schemes,Aditya Birla Sun Life Mutual Fund
120211,ICICI Prudential Money Market Fund Option - Direct Plan -  Growth,Debt Scheme - Money Market Fund,Open Ended Schemes,ICICI Prudential Mutual Fund
120221,Aditya Birla Sun Life Interval Income Fund - Annual Plan I-Direct Plan-Growth,1100 days,144748;INF209KB1VS8;-;Aditya Birla Sun Life Fixed Term Plan - Series QY,Aditya Birla Sun Life Mutual Fund
120225,Kotak Quarterly Interval Plan Series 6 - Growth - Direct,Income,Open Ended Schemes,Kotak Mahindra Mutual Fund
120228,Kotak Quarterly Interval Plan Series 7 - Growth - Direct,Income,Open Ended Schemes,Kotak Mahindra Mutual Fund
120230,Kotak Quarterly Interval Plan Series 8 - Growth - Direct,Income,Open Ended Schemes,Kotak Mahindra Mutual Fund
120233,Kotak Quarterly Interval Plan Series 9 - Growth - Direct,Income,Open Ended Schemes,Kotak Mahindra Mutual Fund
120238,Kotak Quarterly Interval Plan Series 10 - Growth - Direct,Income,Open Ended Schemes,Kotak Mahindra Mutual Fund
120242,ICICI Prudential Multi Sector Passive FOF - Direct Plan - Growth,Other Scheme - FoF Domestic,Open Ended Schemes,ICICI Prudential Mutual Fund
120244,ICICI Prudential Banking and Financial Services Fund - Direct Plan -  Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ICICI Prudential Mutual Fund
120246,Sahara Income Fund-Growth-Direct,Income,Open Ended Schemes,Sahara Mutual Fund
120249,LIC MF Liquid Fund-Direct Plan-Growth,Debt Scheme - Liquid Fund,Open Ended Schemes,LIC Mutual Fund
120251,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,ICICI Prudential Mutual Fund
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,ICICI Prudential Mutual Fund
120261,LIC MF Aggressive Hybrid Fund-Direct Plan-Growth,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,LIC Mutual Fund
120262,Sahara Liquid Fund-Fixed Pricing - Direct -Growth option,Liquid,Open Ended Schemes,Sahara Mutual Fund
120264,LIC MF Flexi Cap Fund-Direct Plan-Growth,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,LIC Mutual Fund
120267,LIC MF Large Cap Fund-Direct Plan-Growth,Equity Scheme - Large Cap Fund,Open Ended Schemes,LIC Mutual Fund
120270,LIC MF ELSS Tax Saver-Direct Plan-Growth,Equity Scheme - ELSS,Open Ended Schemes,LIC Mutual Fund
120276,LIC MF Conservative Hybrid Fund-Direct Plan-Growth,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,LIC Mutual Fund
120279,LIC MF Medium to Long Duration Fund-Direct Plan-Growth,Debt Scheme - Medium to Long Duration Fund,Open Ended Schemes,LIC Mutual Fund
120280,Sahara Liquid Fund-Variable Pricing -Direct - Growth option,Liquid,Open Ended Schemes,Sahara Mutual Fund
120282,LIC MF Gilt Fund-Direct Plan-Growth,Debt Scheme - Gilt Fund,Open Ended Schemes,LIC Mutual Fund
120284,Sahara Gilt Fund-Growth - Direct,Income,Open Ended Schemes,Sahara Mutual Fund
120285,LIC MF Children's Fund-Direct Plan-Growth,Solution Oriented Scheme - Children’s Fund,Open Ended Schemes,LIC Mutual Fund
120289,Sahara Growth Fund-Growth- Direct,Growth,Open Ended Schemes,Sahara Mutual Fund
120291,SaharaTax Gain-Growth- direct,ELSS,Open Ended Schemes,Sahara Mutual Fund
120294,Religare Invesco AGILE Fund - Direct Plan - Growth Option,Income,Open Ended Schemes,Invesco Mutual Fund
120297,Sahara Midcap Fund-Growth Option - Direct,Growth,Open Ended Schemes,Sahara Mutual Fund
120299,UTI MMF - Direct Plan - Growth Option,Debt Scheme - Money Market Fund,Open Ended Schemes,UTI Mutual Fund
120300,ICICI Prudential Blended Plan B - Direct Plan -  Growth Option - I,Income,Open Ended Schemes,ICICI Prudential Mutual Fund
120304,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,Debt Scheme - Liquid Fund,Open Ended Schemes,UTI Mutual Fund
120306,LIC  MF Index Fund-Sensex Advantage-Direct Plan Growth Option,Income,Open Ended Schemes,LIC Mutual Fund
120307,LIC MF Nifty 50 Index Fund-Direct Plan-Growth,Other Scheme - Index Funds,Open Ended Schemes,LIC Mutual Fund
120308,LIC MF BSE Sensex Index Fund-Direct Plan-Growth,Other Scheme - Index Funds,Open Ended Schemes,LIC Mutual Fund
120310,ICICI Prudential Blended Plan A-Direct Plan -  Growth,FV Rs 32.161,101281;INF179K01LA9;-;HDFC Index FundSensex Plan,ICICI Prudential Mutual Fund
120313,ICICI Prudential Income plus Arbitrage Omni FOF - Direct Plan - Growth,Other Scheme - FoF Domestic,Open Ended Schemes,ICICI Prudential Mutual Fund
120315,LIC MF Low Duration Fund-Direct Plan-Growth,Debt Scheme - Low Duration Fund,Open Ended Schemes,LIC Mutual Fund
120320,LIC NOMURA MF Floating Rate Fund - Short Term Plan - Direct Plan Growth option,Income,Open Ended Schemes,LIC Mutual Fund
120323,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Direct Plan - Growth,Equity Scheme - Value Fund,Open Ended Schemes,ICICI Prudential Mutual Fund
120324,LIC NOMURA MF Floater MIP - Direct Plan-Growth Option,Income,Open Ended Schemes,LIC Mutual Fund
120329,LIC NOMURA MF Opportunities Fund-Direct Plan Growth option,Income,Open Ended Schemes,LIC Mutual Fund
120331,LIC NOMURA MF INDIA VISION FUND - Direct Plan GROWTH OPTION,Income,Open Ended Schemes,LIC Mutual Fund
120333,Invesco India Balanced Advantage Fund - Direct Plan - Growth,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Open Ended Schemes,Invesco Mutual Fund
120334,ICICI Prudential Multi-Asset Fund - Direct Plan - Growth,Hybrid Scheme - Multi Asset Allocation,Open Ended Schemes,ICICI Prudential Mutual Fund
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,LIC Mutual Fund
120340,Sahara Wealth Plus Fund-Fixed Pricing Option-Direct-Growth,Growth,Open Ended Schemes,Sahara Mutual Fund
120343,LIC NOMURA MF SYSTEMATIC ASSET ALLOCATION FUND - Direct Plan GROWTH OPTION,Income,Open Ended Schemes,LIC Mutual Fund
120345,Sahara Wealth Plus Fund-Variable Pricing Option-Direct-Growth,Growth,Open Ended Schemes,Sahara Mutual Fund
120347,LIC NOMURA MF TOP 100 FUND - Direct Plan GROWTH OPTION,Income,Open Ended Schemes,LIC Mutual Fund
120348,Invesco India Contra Fund - Direct Plan - Growth,Equity Scheme - Contra Fund,Open Ended Schemes,Invesco Mutual Fund
120351,LIC MF Infrastructure Fund-Direct Plan-Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,LIC Mutual Fund
120353,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Direct-Growth,Growth,Open Ended Schemes,Sahara Mutual Fund
120355,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Direct-Growth,Growth,Open Ended Schemes,Sahara Mutual Fund
120357,Invesco India Large & Mid Cap Fund - Direct Plan - Growth,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,Invesco Mutual Fund
120359,LIC MF Interval Fund Monthly Plan-Series 1-Direct Plan-Growth,Income,Interval Fund Schemes,LIC Mutual Fund
120361,Sahara R.E.A.L Fund - Growth  Fund- Direct,Growth,Open Ended Schemes,Sahara Mutual Fund
120363,LIC MF Interval Fund Quarterly Plan-Series 1-Direct Plan-Growth,Income,Interval Fund Schemes,LIC Mutual Fund
120364,ICICI Prudential Equity Arbitrage Fund - Direct Plan - Growth,Hybrid Scheme - Arbitrage Fund,Open Ended Schemes,ICICI Prudential Mutual Fund
120366,LIC MF Interval Fund Annual Plan-Series 1-Direct Plan-Growth,Income,Interval Fund Schemes,LIC Mutual Fund
120368,Sahara Classic Fund- Growth Option- Direct,Income,Open Ended Schemes,Sahara Mutual Fund
120371,Sahara Power & Natural resources Fund- Growth - Direct,Growth,Open Ended Schemes,Sahara Mutual Fund
120372,LIC MF Interval Fund Quarterly Plan-Series 2-Direct Plan-Growth,Income,Interval Fund Schemes,LIC Mutual Fund
120373,SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH - Direct,Growth,Open Ended Schemes,Sahara Mutual Fund
120377,ICICI Prudential Balanced Advantage Fund - Direct Plan -  Growth,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Open Ended Schemes,ICICI Prudential Mutual Fund
120379,SAHARA SHORT TERM BOND FUND-GROWTH- Direct,Income,Open Ended Schemes,Sahara Mutual Fund
120381,ICICI Prudential MidCap Fund - Direct Plan -  Growth,Equity Scheme - Mid Cap Fund,Open Ended Schemes,ICICI Prudential Mutual Fund
120382,Sahara Super 20 Fund - Growth - Direct,Growth,Open Ended Schemes,Sahara Mutual Fund
120385,Invesco India Financial Services Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Invesco Mutual Fund
120386,Sahara Star Value Fund-Growth - Direct,Growth,Open Ended Schemes,Sahara Mutual Fund
120389,Axis Liquid Fund - Direct Plan - Growth Option,Debt Scheme - Liquid Fund,Open Ended Schemes,Axis Mutual Fund
120392,Invesco India Largecap Fund - Direct Plan - Growth,Equity Scheme - Large Cap Fund,Open Ended Schemes,Invesco Mutual Fund
120395,Invesco India PSU Equity Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Invesco Mutual Fund
120398,ICICI Prudential Savings Fund - Direct Plan - Growth,Debt Scheme - Low Duration Fund,Open Ended Schemes,ICICI Prudential Mutual Fund
120401,Invesco India Arbitrage Fund - Direct Plan - Growth Option,Hybrid Scheme - Arbitrage Fund,Open Ended Schemes,Invesco Mutual Fund
120403,Invesco India Midcap Fund - Direct Plan - Growth Option,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Invesco Mutual Fund
120405,Invesco India Infrastructure Fund - Direct Plan - Growth Option,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,Invesco Mutual Fund
120406,JM Liquid Fund (Direct) - Growth Option,Debt Scheme - Liquid Fund,Open Ended Schemes,JM Financial Mutual Fund
120413,Invesco India Multicap Fund - Direct Plan - Growth Option,Equity Scheme - Multi Cap Fund,Open Ended Schemes,Invesco Mutual Fund
120415,JM Floater Short Term Fund (Direct) - Growth Option,Liquid,Open Ended Schemes,JM Financial Mutual Fund
120416,Invesco India ELSS Tax Saver Fund - Direct Plan - Growth,Equity Scheme - ELSS,Open Ended Schemes,Invesco Mutual Fund
120421,JM G-Sec Fund - (Direct) - Growth Option,Debt Scheme - Gilt Fund,Open Ended Schemes,JM Financial Mutual Fund
120425,ICICI Prudential Floating Interest Fund - Direct Plan - Growth,Debt Scheme - Floater Fund,Open Ended Schemes,ICICI Prudential Mutual Fund
120430,JM Medium to Long Duration Fund (Direct) - Growth Option,Debt Scheme - Medium to Long Duration Fund,Open Ended Schemes,JM Financial Mutual Fund
120435,JM Dynamic Bond Fund - (Direct) - Growth Option,Debt Scheme - Dynamic Bond,Open Ended Schemes,JM Financial Mutual Fund
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Axis Mutual Fund
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Invesco Mutual Fund
120446,JM MIP Fund (Direct) - Growth Option,Income,Open Ended Schemes,JM Financial Mutual Fund
120447,Axis Gilt Fund - Direct Plan - Growth Option,Debt Scheme - Gilt Fund,Open Ended Schemes,Axis Mutual Fund
120451,Axis Dynamic Bond Fund - Direct Plan - Growth Option,Debt Scheme - Dynamic Bond,Open Ended Schemes,Axis Mutual Fund
120458,JM Ultra Short Duration Fund - (Direct) - Growth Option,Debt Scheme - Ultra Short Duration Fund,Open Ended Schemes,JM Financial Mutual Fund
120461,JM Money Manager Fund - Super Plus Plan (Direct) - Growth Option,Income,Open Ended Schemes,JM Financial Mutual Fund
120463,JM Money Manager Fund - Super Plan (Direct) - Growth Option,Income,Open Ended Schemes,JM Financial Mutual Fund
120465,Axis Large Cap Fund - Direct Plan - Growth,Equity Scheme - Large Cap Fund,Open Ended Schemes,Axis Mutual Fund
120468,Axis Focused Fund - Direct Plan - Growth Option,Equity Scheme - Focused Fund,Open Ended Schemes,Axis Mutual Fund
120471,JM Short Term Fund (Direct) - Growth Option,Debt Scheme - Short Duration Fund,Open Ended Schemes,JM Financial Mutual Fund
120473,Axis Gold Fund - Direct Plan - Growth option,Other Scheme - FoF Domestic,Open Ended Schemes,Axis Mutual Fund
120475,Axis Strategic Bond Fund - Direct Plan - Growth Option,Debt Scheme - Medium Duration Fund,Open Ended Schemes,Axis Mutual Fund
120480,Axis Conservative Hybrid Fund - Direct Plan - Growth Option,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,Axis Mutual Fund
120482,JM Arbitrage Fund (Direct) - Growth Option,Hybrid Scheme - Arbitrage Fund,Open Ended Schemes,JM Financial Mutual Fund
120484,JM Aggressive Hybrid Fund (Direct) - Growth Option,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,JM Financial Mutual Fund
120486,JM Value Fund (Direct) - Growth Option,Equity Scheme - Value Fund,Open Ended Schemes,JM Financial Mutual Fund
120488,JM Focused Fund (Direct)  - Growth Option,Equity Scheme - Focused Fund,Open Ended Schemes,JM Financial Mutual Fund
120490,JM Large Cap Fund (Direct) - Growth Option,Equity Scheme - Large Cap Fund,Open Ended Schemes,JM Financial Mutual Fund
120492,JM Flexicap Fund (Direct) - Growth Option,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,JM Financial Mutual Fund
120494,JM ELSS Tax Saver Fund (Direct) - Growth Option,Equity Scheme - ELSS,Open Ended Schemes,JM Financial Mutual Fund
120497,Invesco India Corporate Bond Fund - Direct Plan - Growth,Debt Scheme - Corporate Bond Fund,Open Ended Schemes,Invesco Mutual Fund
