scheme_code,scheme_name,category,scheme_type,fund_house
119118,HDFC Hybrid Debt Fund - Growth Option - Direct Plan,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,HDFC Mutual Fund
119121,HDFC MF MIP STP -Direct Plan - Growth Option,Income,Open Ended Schemes,HDFC Mutual Fund
119125,DSP Liquidity Fund - Direct Plan - Growth,Debt Scheme - Liquid Fund,Open Ended Schemes,DSP Mutual Fund
119127,Tata Medium Term Fund- Direct Plan- Growth Option,Debt Scheme - Medium Duration Fund,Open Ended Schemes,Tata Mutual Fund
119128,HDFC Equity Savings Fund - Growth Option - Direct Plan,Hybrid Scheme - Equity Savings,Open Ended Schemes,HDFC Mutual Fund
119131,HDFC Multi-Asset Fund - Growth Option - Direct Plan,Hybrid Scheme - Multi Asset Allocation,Open Ended Schemes,HDFC Mutual Fund
119133,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option,Equity Scheme - Large Cap Fund,Open Ended Schemes,Groww Mutual Fund
119135,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,Debt Scheme - Liquid Fund,Open Ended Schemes,Groww Mutual Fund
119140,Morgan Stanley Growth Fund - Direct Growth Plan,Income,Open Ended Schemes,Morgan Stanley Mutual Fund
119143,Indiabulls Ultra Short Term Fund - Direct Plan - Growth Option,Debt Scheme - Ultra Short Duration Fund,Open Ended Schemes,Indiabulls Mutual Fund
119148,Navi Large Cap Equity Fund-Direct Plan-Growth Option,Equity Scheme - Large Cap Fund,Open Ended Schemes,Navi Mutual Fund
119150,Morgan Stanley A.C.E. Fund-Direct Growth Plan,Income,Open Ended Schemes,Morgan Stanley Mutual Fund
119151,ESSEL FLEXIBLE INCOME FUND-DIRECT PLAN-GROWTH OPTION,Direct,119337;INF955L01AA3;-;Baroda Pioneer Dynamic Bond Fund - Plan B,Essel Mutual Fund
119156,Navi Conservative Hybrid Fund-Direct Plan-Growth Option,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,Navi Mutual Fund
119160,Tata Large Cap Fund -Direct Plan Growth Option,Equity Scheme - Large Cap Fund,Open Ended Schemes,Tata Mutual Fund
119164,Navi Liquid Fund-Direct Plan-Growth Option,Debt Scheme - Liquid Fund,Open Ended Schemes,Navi Mutual Fund
119165,Morgan Stanley Active Bond Fund - Direct Growth Plan,Income,Open Ended Schemes,Morgan Stanley Mutual Fund
119168,Essel Short Term Fund-Direct Plan-Growth Option,Debt Scheme - Short Duration Fund,Open Ended Schemes,Essel Mutual Fund
