Date,SMB,HML,WML,MF,RF
2001-11,8.43322147,-0.3406194,-27.614831,12.4228012,0.51681645
2001-12,1.11589388,-5.2381205,-3.7147107,-0.3804719,0.57599469
2002-01,-1.4917357,-5.7256775,5.6696653,1.81413281,0.56141957
2002-02,-13.833203,5.16675555,9.42768378,8.81241499,0.47301352
2002-03,1.61073696,-5.9632672,7.86473233,2.34500265,0.45506884
2002-04,4.56470067,2.38664528,4.33333072,1.8511006,0.52261277
2002-05,-1.1405737,24.6427799,-4.2655888,-4.7252192,0.54187623
2002-06,12.4870018,24.5235662,-3.6725421,4.40845226,0.47782084
2002-07,-7.8812212,-7.9280835,1.06966666,-9.1317792,0.5159777
2002-08,-2.7012437,-4.8528731,-2.3061852,4.97911781,0.46439064
2002-09,1.79897726,-1.0405926,-3.5591399,-6.7523251,0.47433854
2002-10,-5.1851757,1.07730728,8.57305093,-0.9149939,0.4750891
2002-11,0.92225829,4.12210007,-9.0605695,6.4439869,0.42381702
2002-12,-1.182057,-1.6424878,3.5984046,3.87761515,0.45620244
2003-01,-4.7365789,1.72486769,8.71873251,-3.6718918,0.45151925
2003-02,-2.6021599,-1.342868,3.57558449,1.5424742,0.42480127
2003-03,-4.7216709,-5.1773202,5.3159691,-8.7692474,0.47925887
2003-04,3.05323174,2.57762165,-2.6177722,-0.8837989,0.4218422
2003-05,4.29872075,9.42719234,7.22426345,15.2495226,0.36450335
2003-06,2.89511256,6.00024808,-6.4891008,12.1850793,0.40828345
2003-07,5.05245929,3.19385045,1.24060937,4.79705901,0.4071012
2003-08,-8.0607797,3.85801973,7.08488024,18.3573169,0.38005516
2003-09,-2.4009522,-16.529847,0.96279597,3.34026045,0.39725099
2003-10,-3.9536501,-3.1622982,4.82631661,5.55382287,0.37807572
2003-11,8.52094546,13.8800871,-5.7642593,6.96934061,0.33918104
2003-12,4.38046649,10.1043043,-2.9830246,18.9407786,0.3727287
2004-01,-9.3259619,-5.0096517,3.50469684,-6.2089953,0.34201973
2004-02,-2.3361765,-7.359887,4.49759972,-1.4155769,0.32768114
2004-03,-3.8272828,0.03364258,7.99735655,-0.9201769,0.37886662
2004-04,7.45937979,5.48994372,3.57136523,3.0203458,0.35224366
2004-05,5.33225152,-3.6736363,-11.896137,-17.729229,0.36602996
2004-06,-1.1798505,-0.1010921,2.66019432,1.50968101,0.35783434
2004-07,0.43296221,5.86275456,5.28444349,8.95971315,0.36052408
2004-08,11.7472314,2.90000367,0.50831001,2.36861377,0.40498292
2004-09,0.98111052,9.33751175,-2.226548,7.71527698,0.3797709
2004-10,2.42520777,2.10249805,6.22305654,1.78232356,0.39662234
2004-11,4.26630581,14.0621503,-0.7603549,8.28715658,0.46817791
2004-12,3.52583303,3.33907706,3.16863629,8.11110133,0.43972046
2005-01,1.85403471,-4.173801,3.4220856,-1.750069,0.44165726
2005-02,3.80912752,3.03588142,5.93840594,3.44276475,0.39382353
2005-03,5.36829993,-1.1305098,4.56710102,-3.7277588,0.4349893
2005-04,5.27802307,2.41110388,-6.8710046,-3.4467009,0.40485454
2005-05,3.13019139,12.1251588,-3.6564496,8.41266801,0.44312295
2005-06,0.75317585,2.49986035,1.27696331,3.47254266,0.42255516
2005-07,1.95458648,1.58612168,6.69938077,5.99039769,0.42129926
2005-08,11.512684,7.58135469,1.67730102,7.23663489,0.46663914
2005-09,-9.1216914,-6.0788664,0.02427664,5.10577682,0.41577987
2005-10,-3.8006967,-4.8181992,-6.0620606,-9.3285412,0.45466472
2005-11,0.84346472,-2.2277053,2.56151088,11.5603632,0.46015744
2005-12,0.10766844,-5.711466,4.01433721,6.50597412,0.46466262
2006-01,-1.9803846,0.61711362,7.35309618,6.66062705,0.52827719
2006-02,-3.0910508,-1.2179424,-0.9526379,2.56451339,0.49300558
2006-03,-1.0400379,-5.036845,9.0010894,10.469057,0.54409466
2006-04,2.76022268,6.07213819,-1.1405905,7.71201402,0.43890103
2006-05,5.88018061,4.01252379,-1.0693994,-14.770864,0.48193305
2006-06,-12.975078,-3.7866369,5.32483539,-3.9579862,0.47945842
2006-07,-1.9923386,-0.262781,5.86854458,-1.6215139,0.5282545
2006-08,1.22534895,3.47398144,-0.4170311,8.25211642,0.52804031
2006-09,0.49823377,0.26037641,3.87272743,4.68876908,0.4993679
2006-10,1.37927455,-1.6276279,4.83625061,4.21245276,0.56320267
2006-11,0.02036488,-0.9875017,5.9975767,4.25374752,0.5299135
2006-12,2.76073276,6.82096002,3.08526703,0.83534514,0.53080059
2007-01,2.04513935,6.83670966,0.03341773,3.06386239,0.62925633
2007-02,-3.0958877,-3.4327367,2.35713786,-8.4363663,0.57048542
2007-03,-6.135617,0.51199352,1.96305775,0.35419737,0.60497678
2007-04,-0.8749176,-0.7297905,-0.6621544,6.83458166,0.62632845
2007-05,0.64747048,-2.8509279,2.24192932,4.12443894,0.62484743
2007-06,4.36692184,1.75024848,2.13252045,0.45238775,0.5702997
2007-07,-2.5150435,1.99187601,2.91740637,4.61642766,0.47322175
2007-08,-1.9941804,16.7248127,2.44935254,-1.0462907,0.53740595
2007-09,-4.7254765,7.48961467,-0.1471985,11.4689544,0.5246345
2007-10,-10.130285,-6.2730354,20.7968852,18.2490109,0.62038614
2007-11,6.54451387,9.88810023,1.44238726,-1.1196144,0.58845572
2007-12,12.5865011,10.7341532,-3.0369423,11.5588961,0.61077106
2008-01,-2.7068029,-10.745742,-4.35945,-21.674227,0.58450742
2008-02,-10.033103,7.17883478,-2.2106257,0.58803377,0.56134466
2008-03,-8.3507878,-1.196758,-5.8159899,-11.458776,0.60532816
2008-04,2.9168542,2.92987532,-3.8783348,10.4612979,0.5770334
2008-05,-4.6988727,9.79213351,-1.5132677,-5.9951042,0.5871752
2008-06,-0.8975986,4.5910812,-1.6642298,-18.844221,0.64229784
2008-07,0.35694843,-2.6834984,2.03670832,5.9382808,0.73216309
2008-08,0.59051315,-1.0282292,-2.2887072,-0.383958,0.70222988
2008-09,-5.8734732,0.27064837,5.13453102,-14.345306,0.74260941
2008-10,-6.9440411,0.5772452,17.6723535,-29.063654,0.67812733
2008-11,-9.3507575,1.21176236,12.1726198,-6.3770379,0.54608218
2008-12,0.30868524,-1.598792,-20.314191,8.64394843,0.52508455
2009-01,-7.8795657,2.61847903,11.5554524,-3.3120076,0.37659152
2009-02,-2.2323847,-0.4962583,6.46324853,-3.1031262,0.35928422
